;Medio;Fecha;Título;Tema dominante;Eje analítico;Enlace
14;The Wall Street Journal;12/10/2025;Our Faces No Longer Belong to Us;Apropiación de la identidad visual;Credibilidad;https://www.wsj.com/tech/personal-tech/ai-avatar-likeness-sora-68bf426c
15;The Washington Post;17/12/2025;The rise of AI fake news is creating a ‘misinformation superspreader’;Automatización de propaganda y noticias falsas;Desinformación;https://www.washingtonpost.com/technology/2023/12/17/ai-fake-news-misinformation/
16;CNN;08/04/2025;Deepfake fraud: Scammers using AI celebrity videos to steal personal info;Fraude con celebridades sintéticas;Regulación;https://edition.cnn.com/2025/10/07/business/video/deepfake-scam-ai-zoom-call-digvid
17;CNN;02/01/2025;Deepfakes can cause long-lasting damage to children;Daño psicológico y vulnerabilidad juvenil;Riesgo social;https://www.cnn.com/2025/01/02/health/deepfakes-social-media-wellness
18;CNN;19/05/2025;Victims of explicit deepfakes will now be able to take legal action against people who create them;Protección legal de las víctimas;Regulación;https://edition.cnn.com/2025/05/19/tech/ai-explicit-deepfakes-trump-sign-take-it-down-act
19;CNN;30/01/2025;American teens are increasingly misled by fake content online, report shows;Desinformación y pérdida de confianza juvenil;Credibilidad;https://edition.cnn.com/2025/01/30/tech/american-teens-ai-study
20;Al Jazeera;26/06/2025;Google’s AI video tool amplifies fears of an increase in misinformation;Veo 3 y expansión de la desinformación;Desinformación;https://www.aljazeera.com/economy/2025/6/26/googles-ai-video-tool-amplifies-fears-of-an-increase-in-misinformation
21;Al Jazeera;06/10/2025;AI now sounds more like us – should we be concerned?;Clonación de voz y fraude;Credibilidad;https://www.aljazeera.com/news/2025/10/6/ai-now-sounds-more-like-us-should-we-be-concerned
22;The Guardian;13/02/2025;Scarlett Johansson warns of dangers of AI after Kanye West deepfake goes viral;Deepfake de celebridades y discurso de odio;Riesgo social;https://www.theguardian.com/technology/2025/feb/13/scarlett-johansson-ai-kanye-west-deepfake
23;The Guardian;27/06/2025;Denmark to tackle deepfakes by giving people copyright to their own features;Derechos sobre rostro y voz;Regulación;https://www.theguardian.com/technology/2025/jun/27/deepfakes-denmark-copyright-law-artificial-intelligence
24;The Guardian;10/04/2025;OpenAI launch of video app Sora plagued by violent and racist images: ‘The guardrails are not real’;Falla de salvaguardas y daño informativo;Desinformación;https://www.theguardian.com/us-news/2025/oct/04/openai-sora-violence-racism
25;AP News;10/12/2024;OpenAI releases AI video generator Sora but limits how it depicts people;Lanzamiento controlado de Sora;Innovación;https://apnews.com/article/openai-sora-generative-ai-texttovideo-214d578d048f39c9c7b327f870dc6df8
26;AP News;03/04/2025;Creating and sharing deceptive AI-generated media is now a crime in New Jersey;Criminalización estatal de medios engañosos;Regulación;https://apnews.com/article/new-jersey-deepfake-videos-criminal-civil-penalties-276ca23b00b10a7ee7e7303ead8b4260
27;AP / AP Spotlights;28/07/2025;Creating realistic deepfakes is getting easier than ever. Fighting back may take even more AI;Escalada técnica y respuesta defensiva;Credibilidad;https://www.ap.org/news-highlights/spotlights/2025/creating-realistic-deepfakes-is-getting-easier-than-ever-fighting-back-may-take-even-more-ai/
28;The Week;09/10/2025;Sora 2 and the fear of an AI video future;Futuro del video sintético y manipulación;Desinformación;https://theweek.com/tech/sora-2-openai-the-fear-of-an-ai-video-future
29;CalMatters;07/01/2025;"California AI regulation safe after ""big, beautiful bill"" loses freeze";Defensa de la regulación estatal;Regulación;https://calmatters.org/economy/technology/2025/07/california-ai-regulation-safe-after-senate-vote/
30;Business Insider;2025;MrBeast calls out AI as a threat to YouTubers' livelihoods: 'Scary times';Impacto laboral y amenaza a creadores;Innovación;https://www.businessinsider.com/mrbeast-calls-out-ai-as-a-threat-to-youtubers-livelihoods-2025-10
31;Business Insider;2025;South Korea could give those who watch deepfake porn 3 years in prison or a fine of up to $23K;Sanción al consumo de deepfake porn;Regulación;https://www.businessinsider.com/south-korea-threatens-deepfake-porn-viewers-three-years-prison-fine-2024-9
32;WIRED;29/09/2025;OpenAI Is Preparing to Launch a Social App for AI-Generated Videos;App social de Sora 2;Innovación;https://www.wired.com/story/openai-launches-sora-2-tiktok-like-app/
